season,team,points
2013-2014,Manchester City,86
2013-2014,Liverpool,84
2013-2014,Chelsea,82
2013-2014,Arsenal,79
2013-2014,Everton,72
2013-2014,Tottenham Hotspur,69
2013-2014,Manchester United,64
2013-2014,Southampton,56
2013-2014,Stoke City,50
2013-2014,Newcastle United,49
2013-2014,Crystal Palace,45
2013-2014,Swansea City,42
2013-2014,West Ham United,40
2013-2014,Sunderland,38
2013-2014,Aston Villa,38
2013-2014,Hull City,37
2013-2014,West Bromwich Albion,36
2013-2014,Norwich City,33
2013-2014,Fulham,32
2013-2014,Cardiff City,30
2014-2015,Chelsea,87
2014-2015,Manchester City,79
2014-2015,Arsenal,75
2014-2015,Manchester United,70
2014-2015,Tottenham Hotspur,64
2014-2015,Liverpool,62
2014-2015,Southampton,60
2014-2015,Swansea City,56
2014-2015,Stoke City,54
2014-2015,Crystal Palace,48
2014-2015,Everton,47
2014-2015,West Ham United,47
2014-2015,West Bromwich Albion,44
2014-2015,Leicester City,41
2014-2015,Newcastle United,39
2014-2015,Sunderland,38
2014-2015,Aston Villa,38
2014-2015,Hull City,35
2014-2015,Burnley,33
2014-2015,Queens Park Rangers,30
2015-2016,Leicester City,81
2015-2016,Arsenal,71
2015-2016,Tottenham Hotspur,70
2015-2016,Manchester City,66
2015-2016,Manchester United,66
2015-2016,Southampton,63
2015-2016,West Ham United,62
2015-2016,Liverpool,60
2015-2016,Stoke City,51
2015-2016,Chelsea,50
2015-2016,Everton,47
2015-2016,Swansea City,47
2015-2016,Watford,45
2015-2016,West Bromwich Albion,43
2015-2016,Crystal Palace,42
2015-2016,AFC Bournemouth,42
2015-2016,Sunderland,39
2015-2016,Newcastle United,37
2015-2016,Norwich City,34
2015-2016,Aston Villa,17
2016-2017,Chelsea,93
2016-2017,Tottenham Hotspur,86
2016-2017,Manchester City,78
2016-2017,Liverpool,76
2016-2017,Arsenal,75
2016-2017,Manchester United,69
2016-2017,Everton,61
2016-2017,Southampton,46
2016-2017,AFC Bournemouth,46
2016-2017,West Bromwich Albion,45
2016-2017,West Ham United,45
2016-2017,Leicester City,44
2016-2017,Stoke City,44
2016-2017,Crystal Palace,41
2016-2017,Swansea City,41
2016-2017,Burnley,40
2016-2017,Watford,40
2016-2017,Hull City,34
2016-2017,Middlesbrough,28
